uid,frame_count
100007,32
100011,39
100021,31
100026,32
100029,33
100034,34
100042,37
100045,33
100049,29
100064,28
100085,33
100086,27
100087,26
100091,41
100101,28
100107,31
100109,26
100110,41
100115,32
100116,43
100117,35
10012,31
100122,40
10013,35
100134,35
100136,26
100142,29
100149,41
100157,27
100159,44
10016,47
100174,39
10018,13
100180,45
100186,23
100196,44
100225,33
100234,49
100236,43
100240,33
10025,25
100250,41
100253,27
100276,44
100279,22
10028,23
100314,42
10033,31
100336,37
100338,29
100339,25
100358,36
10037,34
100379,35
100380,43
100391,41
100400,38
100405,45
100406,42
100409,27
100418,41
100419,43
100421,29
100422,34
100444,31
100452,40
100458,21
100466,35
100473,37
100480,41
10049,21
100491,30
100492,29
100493,39
100499,30
100503,29
10051,38
100516,45
100534,33
100536,25
10055,21
100574,41
100579,37
100589,24
100590,41
100595,24
1006,24
100603,31
100621,35
100623,14
100626,46
100640,26
100646,49
100653,26
100661,39
100663,43
100676,21
10070,35
10071,47
100710,41
100719,33
10073,15
100740,27
100751,21
100764,25
100765,42
100767,38
100771,31
100780,49
100799,38
100801,50
100819,32
10082,36
100820,32
100836,33
100849,40
100872,39
100877,23
100880,23
100896,46
100901,37
100906,33
100907,38
100908,49
100917,37
100919,39
100933,40
100955,31
100961,32
10098,33
100990,29
10101,46
101018,43
101032,38
101034,34
101044,49
101071,17
10108,38
101083,37
101094,46
101096,29
101103,29
101107,29
101108,34
101111,37
101117,31
101120,29
101132,48
101146,43
101156,33
101158,39
101180,35
101181,35
101187,39
101194,25
101197,25
101206,27
101214,31
101217,25
10122,33
101223,33
101228,41
101232,34
10124,41
10126,40
101276,27
101323,48
101335,33
101336,42
101339,27
101343,43
101353,39
101359,14
101365,54
101379,33
101391,25
101394,45
101398,37
1014,42
101419,35
10142,34
101424,38
10144,41
101440,36
101453,37
101461,33
101470,20
101471,43
101473,27
101486,21
101502,45
101523,27
10154,35
101552,35
101553,23
101554,33
101560,39
101569,32
101578,47
