class,count
109,3284
45,3170
93,2949
43,2741
6,2727
94,2724
171,2426
146,2275
151,2254
106,2188
56,2075
164,2058
107,2031
143,1936
100,1874
18,1781
114,1766
15,1738
149,1736
148,1699
99,1687
125,1678
27,1673
129,1638
112,1608
31,1594
28,1593
87,1587
37,1563
86,1555
68,1547
36,1520
29,1501
67,1473
160,1471
16,1459
101,1452
30,1430
19,1403
74,1391
135,1390
145,1379
55,1287
150,1285
20,1260
122,1255
152,1254
46,1253
130,1213
104,1204
81,1204
73,1204
49,1195
0,1162
12,1122
103,1103
134,1100
32,1076
140,1071
5,1068
72,1044
144,1032
147,1032
166,1029
167,1018
17,991
11,982
120,982
47,980
14,972
98,962
102,955
153,943
123,936
157,928
82,924
127,922
83,915
40,910
66,908
42,907
10,903
121,903
9,890
41,881
155,875
59,873
165,867
44,853
168,851
172,840
105,837
124,837
1,837
126,832
65,796
48,790
22,783
8,783
154,774
162,748
139,747
119,733
84,725
170,724
80,717
128,709
71,697
21,689
34,687
35,680
57,679
50,671
23,669
75,669
33,639
118,609
156,604
4,603
117,591
97,573
89,548
173,539
95,526
69,523
110,507
39,501
2,497
90,493
3,487
161,471
38,464
132,462
85,462
7,449
133,448
158,441
141,415
79,408
142,400
108,396
115,368
113,364
116,361
96,351
24,348
76,337
131,327
159,326
77,322
63,320
26,317
62,314
70,314
64,311
91,292
53,291
88,290
61,274
13,273
138,266
169,240
60,239
25,225
54,217
92,199
52,185
163,183
78,169
137,162
111,156
58,153
136,111
51,91
